slug,level0:name_en,level0:name_he,level1:name_en,level1:name_he,level2:name_en,level2:name_he
human_places,Human Places,
human_places:community,Human Places,,Community,
human_places:community:community_center,Human Places,,Community,,Community Center,
human_places:community:library,Human Places,,Community,,Library,
human_places:religion,Human Places,,Religion,
human_places:religion:synagogue,Human Places,,Religion,,Synagogue,
human_places:religion:mosque,Human Places,,Religion,,Mosque,
human_places:religion:church,Human Places,,Religion,,Church,
human_places:education,Human Places,,Education,
human_places:education:nursery,Human Places,,Education,,Nursery,
human_places:education:kindergarten,Human Places,,Education,,Kindergarten,
human_places:education:primary_school,Human Places,,Education,,Primary School,
human_places:education:middle_school,Human Places,,Education,,Middle School,
human_places:education:high_school,Human Places,,Education,,High School,
human_places:education:high_school:high_school_yeshiva,Human Places,,Education,,High School,,High School Yeshiva,
human_places:education:high_school:ulpana,Human Places,,Education,,High School,,Ulpana,
human_places:education:high_school:youth_villages,Human Places,,Education,,High School,,Youth Villages,
human_places:health,Human Places,,Health,
human_places:health:clinic,Human Places,,Health,,Clinic,
human_places:health:clinic:mental_health_clinic,Human Places,,Health,,Clinic,,Mental Health Clinic,
human_places:health:clinic:gp_clinic,Human Places,,Health,,Clinic,,GP Clinic,
human_places:health:clinic:well_baby_clinic,Human Places,,Health,,Clinic,,Well Baby Clinic,
human_places:health:hospital,Human Places,,Health,,Hospital,
human_places:government_service_point,Human Places,,Government Service Point,
